STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,OTH,Other,NBR,Number,A,Annual,2001,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,OTH,Other,NBR,Number,A,Annual,2000,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FAMWORKR,Family accompanying workers,NBR,Number,A,Annual,2005,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FAMWORKR,Family accompanying workers,NBR,Number,A,Annual,2006,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,WORK,Work,NBR,Number,A,Annual,2022,,17583,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FAMWORKR,Family accompanying workers,NBR,Number,A,Annual,2022,,14117,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FREEMOVS,Free movements,NBR,Number,A,Annual,2022,,32569,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,HUMNTRN,Humanitarian,NBR,Number,A,Annual,2000,,10546,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,TOT,Total,NBR,Number,A,Annual,2003,,49967,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FAM,Family,NBR,Number,A,Annual,2004,,23162,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,TOT,Total,NBR,Number,A,Annual,2002,,50583,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,WORK,Work,NBR,Number,A,Annual,2006,,349,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FREEMOVS,Free movements,NBR,Number,A,Annual,2006,,28178,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FAM,Family,NBR,Number,A,Annual,2005,,22713,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,WORK,Work,NBR,Number,A,Annual,2005,,293,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FAM,Family,NBR,Number,A,Annual,2021,,24132,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,WORK,Work,NBR,Number,A,Annual,2021,,16261,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FAMWORKR,Family accompanying workers,NBR,Number,A,Annual,2021,,14164,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FREEMOVS,Free movements,NBR,Number,A,Annual,2007,,33904,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,HUMNTRN,Humanitarian,NBR,Number,A,Annual,2007,,18290,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,TOT,Total,NBR,Number,A,Annual,2010,,46750,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FAM,Family,NBR,Number,A,Annual,2012,,30868,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,OTH,Other,NBR,Number,A,Annual,2012,,1222,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,HUMNTRN,Humanitarian,NBR,Number,A,Annual,2008,,11173,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FAM,Family,NBR,Number,A,Annual,2020,,21679,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,TOT,Total,NBR,Number,A,Annual,2011,,86159,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,TOT,Total,NBR,Number,A,Annual,2018,,123076,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,TOT,Total,NBR,Number,A,Annual,2019,,99421,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,OTH,Other,NBR,Number,A,Annual,2013,,866,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,IMMIGINFLOW,Permanent immigrant inflows,FAM,Family,NBR,Number,A,Annual,2013,,29459,,A,,,,,,,
