STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,1989,,2.581469819,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,1987,,6996.506663,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,1985,,6371.925479,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,1993,,2.956800629,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,3.095439258,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,2003,,13194.50522,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,3.474995723,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,2001,,13657.0181,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,3.233825601,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,2010,,13689.24731,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,2011,,14211.97648,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,2018,,17055.93824,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,2019,,17743.1195,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,NATPOPDIST,National population distribution,URBAN,Urban regions,PC,Percentage,A,Annual,2014,,22.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,3.10183759,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,3.21903452,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,1981,,2.028502428,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,1981,,4622.678394,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,1983,,5311.453424,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,1985,,2.54514808,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,1987,,2.633075063,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,1991,,2.518089596,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,1993,,7974.931535,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,1999,,11215.8601,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,MLN_USD,Million US dollars,A,Annual,1997,,9986.653398,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,3.361289014,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,3.873802777,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDEXPRD,Gross domestic spending on R&D,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,3.359575038,,A,,,,,,,
