Country Name,°ÍÎ÷
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,21.53831433
1976,19.22460219
1977,19.78325558
1978,19.48954444
1979,18.02563302
1980,17.86787843
1981,18.639164
1982,15.29337555
1983,13.31746897
1984,15.75808843
1985,19.09153964
1986,17.1233073
1987,21.81089812
1988,23.94049991
1989,35.80697096
1990,18.91773198
1991,18.54228179
1992,20.07776475
1993,20.18526529
1994,19.66353427
1995,14.3484425
1996,12.68491938
1997,12.16975373
1998,11.53218877
1999,10.5951524
2000,13.9917129
2001,13.59491698
2002,15.40753681
2003,16.41786255
2004,18.8597598
2005,18.1140694
2006,18.40980115
2007,19.34636623
2008,19.22685147
2009,16.38036208
2010,17.95565501
2011,18.56613863
2012,18.05018715
2013,18.33663102
2014,16.01839863
2015,14.25220812
2016,13.42175301
2017,13.57776969
2018,12.70741995
2019,12.25079583
2020,14.79332918
2021,17.15648587
2022,15.9551161
2023,15.54058397
