Country Name,Ó¡¶È
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,13.09808649
1976,15.96560507
1977,15.40498137
1978,15.05823925
1979,15.76895438
1980,14.52572508
1981,15.80787417
1982,15.80598492
1983,15.35474951
1984,15.79556695
1985,16.79831129
1986,15.78850603
1987,16.9825251
1988,18.15680913
1989,20.14443959
1990,21.21356324
1991,21.7599661
1992,23.24680162
1993,24.08307928
1994,25.95100655
1995,26.96739109
1996,27.04793504
1997,27.55043402
1998,25.88950465
1999,25.63753291
2000,26.11902373
2001,26.2598845
2002,28.11147834
2003,30.47095826
2004,33.33255466
2005,34.41801529
2006,36.36053211
2007,37.011389
2008,36.25408263
2009,35.61743481
2010,36.30587504
2011,35.13179309
2012,35.26129232
2013,34.30465749
2014,33.46602575
2015,32.45392411
2016,31.72641474
2017,31.70675317
2018,31.41049223
2019,29.70220058
2020,28.67968211
2021,29.86613306
2022,29.88998355
2023,30.6630758
,
