Country Name,»’±æ
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,33.42734066
1997,33.21008023
1998,32.35447097
1999,30.65183065
2000,31.03085423
2001,29.72294203
2002,28.50441093
2003,28.71587681
2004,29.31588438
2005,29.51487698
2006,29.81593218
2007,30.34337994
2008,28.64210741
2009,25.3311155
2010,26.37732272
2011,25.58057141
2012,24.89574884
2013,25.25252313
2014,25.77208863
2015,28.17891582
2016,28.72722324
2017,29.28966717
2018,29.12546746
2019,29.1717019
2020,28.16766715
2021,29.55045039
2022,28.44701693
2023,29.85851503
,
