Country Name,撒哈拉以南非洲地区（不包括高收入）
1960,27.81244999
1961,28.57359636
1962,29.21540656
1963,30.87836966
1964,29.46135831
1965,30.27316551
1966,30.35168949
1967,32.08565614
1968,30.46108568
1969,29.76372228
1970,27.81736606
1971,26.35578698
1972,27.08229487
1973,30.42998414
1974,32.2581734
1975,26.5344199
1976,25.75245227
1977,25.99705703
1978,26.49745966
1979,27.78818382
1980,30.13733797
1981,26.31841008
1982,23.31835764
1983,22.43080847
1984,21.19388855
1985,21.25935321
1986,20.00017575
1987,18.31560297
1988,18.27714434
1989,18.98875724
1990,14.53396526
1991,14.91901535
1992,14.76527088
1993,15.81817085
1994,15.37134398
1995,16.72292438
1996,15.66763405
1997,14.87210057
1998,14.77072694
1999,14.41349254
2000,15.10713114
2001,14.75987099
2002,17.94627467
2003,18.38560219
2004,16.98124135
2005,17.69809753
2006,18.1066244
2007,17.00703659
2008,16.32364634
2009,17.37743623
2010,17.14240591
2011,16.10205686
2012,13.4973772
2013,13.83784368
2014,13.68177342
2015,14.28897594
2016,14.28791839
2017,14.24370808
2018,13.23023653
2019,13.21602315
2020,14.30818361
2021,16.48598587
2022,15.09281684
2023,14.33279122
