Country Name,Ó¢¹ú
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,24.46212298
1971,23.45779588
1972,22.11173449
1973,22.92424588
1974,20.06308664
1975,19.3114249
1976,20.62103093
1977,21.76931088
1978,22.12428789
1979,21.24282523
1980,19.641148
1981,18.39858377
1982,18.23654203
1983,18.88012299
1984,19.17771778
1985,18.69375846
1986,17.49511063
1987,17.73439955
1988,17.9115777
1989,17.62640199
1990,16.34961533
1991,15.66321294
1992,14.64995784
1993,14.49693971
1994,16.65067915
1995,15.52285343
1996,15.72693389
1997,16.22929174
1998,17.48052891
1999,15.95513978
2000,16.5886991
2001,16.52402166
2002,16.38114171
2003,16.11861129
2004,15.47238442
2005,15.99363845
2006,15.26580643
2007,14.91606514
2008,13.70899793
2009,11.90258303
2010,13.41000244
2011,14.30247817
2012,12.91490291
2013,11.91359585
2014,12.70095605
2015,12.92407202
2016,12.48456825
2017,14.9906367
2018,14.25387513
2019,15.68814831
2020,14.69204553
2021,17.48487737
2022,14.96639515
2023,13.38300817
,
