Country Name,ÃÀ¹ú
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,21.55942916
1971,21.47830193
1972,22.10881003
1973,23.78593438
1974,22.68335789
1975,20.91525689
1976,21.46457907
1977,22.20819607
1978,23.42848419
1979,23.52214204
1980,22.20286445
1981,23.3667733
1982,21.7901309
1983,19.79541766
1984,21.91104001
1985,20.36566667
1986,18.96102546
1987,19.62135559
1988,20.63486668
1989,19.74936099
1990,18.75926525
1991,18.81418853
1992,17.6880247
1993,17.05100445
1994,17.86170504
1995,18.75893698
1996,19.65112258
1997,20.84765793
1998,21.39050033
1999,20.92610328
2000,20.81333519
2001,19.6572761
2002,18.38085963
2003,17.42871483
2004,17.7331607
2005,18.122458
2006,19.19975436
2007,17.42794849
2008,15.05880691
2009,13.8930494
2010,15.38325112
2011,16.33732554
2012,18.37929441
2013,18.56331879
2014,19.65666103
2015,19.69842721
2016,18.55869261
2017,18.97905691
2018,19.23209122
2019,19.43123258
2020,18.38678324
2021,17.7526314
2022,18.42235826
2023,17.46672497
,
