year,"Unemployment, total (% of total labor force)", 
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,72,
1991,,
1992,,
1993,65.6,
1994,,
1995,,
1996,48.2,
1997,,
1998,,
1999,46.1,
2000,,
2001,,
2002,36.9,
2003,,
2004,,
2005,22.3,
2006,,
2007,,
2008,17.3,
2009,,
2010,13.4,
2011,10,
2012,8.3,
2013,2.7,
2014,1.7,
2015,0.6,
2016,0.1,
2017,0,
2018,0,
2019,0,
2020,0,
2021,0,
2022,,
2023,,
