year,Commercial Housing Price Growth Rate: 1st Tier (%)
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,3.65
2012,-0.79166667
2013,15.1229167
2014,6.4520833
2015,6.36875
2016,29.8104167
2017,10.0604167
2018,0.4270833
2019,4.3416667
2020,3.59375
2021,5.2791667
2022,3.3479167
2023,1.1145833
2024,-3.2
