year,Commercial Housing Sales Revenue (million CNY)
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,23785.97
1992,42659.38
1993,86371.41
1994,101849.5
1995,125772.69
1996,142712.92
1997,179947.63
1998,251330.27
1999,298787.34
2000,393544.23
2001,486275.17
2002,603234.13
2003,795566.27
2004,1260121.23
2005,1757613.25
2006,2082596.31
2007,2988911.89
2008,2506818.3
2009,4435516.95
2010,5272124.17
2011,5858885.8
2012,6445578.56
2013,8142828.42
2014,7629240.97
2015,8728083.75
2016,11762704.75
2017,13370130.64
2018,14961441.74
2019,15033590
2020,16275230
2021,17015870
2022,12468250
2023,11662220.76
2024,9675032.99
